dataset,spatial_dims,n_timesteps,timestep,samples,zeros,nonzero_count,zero_fraction,min,max,mean,std,abs_mean_nonzero,dynamic_range_db
small/TTI,256x256x256,11,0,5001,5001,0,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.00
small/TTI,256x256x256,11,1,5001,4913,88,0.982404,-9.956214e-14,1.706797e-07,3.448921e-11,2.413397e-09,1.960009e-09,38.80
small/TTI,256x256x256,11,2,5001,4820,181,0.963807,-3.340795e-05,9.855784e-13,-6.694991e-09,4.723657e-07,1.849815e-07,45.13
small/TTI,256x256x256,11,3,5001,4730,271,0.945811,-3.893043e-04,3.715188e-10,-7.961411e-08,5.505207e-06,1.469192e-06,48.46
small/TTI,256x256x256,11,4,5001,4642,359,0.928214,-3.093405e-03,1.660283e-12,-6.467494e-07,4.376130e-05,9.009453e-06,50.71
small/TTI,256x256x256,11,5,5001,4559,442,0.911618,-1.629907e-02,1.646016e-07,-3.531059e-06,2.308594e-04,3.995340e-05,52.21
small/TTI,256x256x256,11,6,5001,4492,509,0.898220,-5.479779e-02,4.196334e-09,-1.271007e-05,7.797058e-04,1.248783e-04,52.85
small/TTI,256x256x256,11,7,5001,4412,589,0.882224,-1.074417e-01,1.443754e-07,-2.884569e-05,1.561875e-03,2.449197e-04,52.84
small/TTI,256x256x256,11,8,5001,4325,676,0.864827,-8.534896e-02,1.514349e-07,-3.645912e-05,1.520368e-03,2.697227e-04,50.01
small/TTI,256x256x256,11,9,5001,4220,781,0.843831,-6.148640e-02,8.958360e-02,-1.142523e-05,1.770277e-03,3.025685e-04,49.43
small/TTI,256x256x256,11,10,5001,4105,896,0.820836,-1.978132e-02,2.678294e-01,3.469526e-05,3.826562e-03,4.046865e-04,56.41
medium/TTI,256x256x256,101,0,5001,5001,0,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.00
medium/TTI,256x256x256,101,1,5001,4913,88,0.982404,-9.956214e-14,1.706797e-07,3.448921e-11,2.413397e-09,1.960009e-09,38.80
medium/TTI,256x256x256,101,2,5001,4820,181,0.963807,-3.340795e-05,9.855784e-13,-6.694991e-09,4.723657e-07,1.849815e-07,45.13
medium/TTI,256x256x256,101,3,5001,4730,271,0.945811,-3.893043e-04,3.715188e-10,-7.961411e-08,5.505207e-06,1.469192e-06,48.46
medium/TTI,256x256x256,101,4,5001,4642,359,0.928214,-3.093405e-03,1.660283e-12,-6.467494e-07,4.376130e-05,9.009453e-06,50.71
medium/TTI,256x256x256,101,5,5001,4559,442,0.911618,-1.629907e-02,1.646016e-07,-3.531059e-06,2.308594e-04,3.995340e-05,52.21
medium/TTI,256x256x256,101,6,5001,4492,509,0.898220,-5.479779e-02,4.196334e-09,-1.271007e-05,7.797058e-04,1.248783e-04,52.85
medium/TTI,256x256x256,101,7,5001,4412,589,0.882224,-1.074417e-01,1.443754e-07,-2.884569e-05,1.561875e-03,2.449197e-04,52.84
medium/TTI,256x256x256,101,8,5001,4325,676,0.864827,-8.534896e-02,1.514349e-07,-3.645912e-05,1.520368e-03,2.697227e-04,50.01
medium/TTI,256x256x256,101,9,5001,4220,781,0.843831,-6.148640e-02,8.958360e-02,-1.142523e-05,1.770277e-03,3.025685e-04,49.43
medium/TTI,256x256x256,101,10,5001,4105,896,0.820836,-1.978132e-02,2.678294e-01,3.469526e-05,3.826562e-03,4.046865e-04,56.41
medium/TTI,256x256x256,101,11,5001,3980,1021,0.795841,-3.427276e-02,2.017178e-01,4.809504e-05,3.666940e-03,5.657844e-04,51.04
medium/TTI,256x256x256,101,12,5001,3857,1144,0.771246,-3.470885e-02,1.440728e-01,1.343029e-05,3.046114e-03,4.429438e-04,50.24
medium/TTI,256x256x256,101,13,5001,3733,1268,0.746451,-1.526667e-01,7.317009e-02,-1.514845e-05,2.697178e-03,4.167421e-04,51.28
medium/TTI,256x256x256,101,14,5001,3606,1395,0.721056,-9.812910e-02,7.858404e-02,-1.473797e-05,2.867286e-03,5.385065e-04,45.21
medium/TTI,256x256x256,101,15,5001,3467,1534,0.693261,-8.028106e-02,7.603388e-02,-2.487440e-05,2.663518e-03,5.295352e-04,43.61
medium/TTI,256x256x256,101,16,5001,3314,1687,0.662667,-6.417461e-02,6.498083e-02,-4.775101e-05,2.127648e-03,4.743157e-04,42.73
medium/TTI,256x256x256,101,17,5001,3143,1858,0.628474,-3.391446e-02,4.882750e-02,-4.340813e-05,2.231072e-03,5.450203e-04,39.05
medium/TTI,256x256x256,101,18,5001,2972,2029,0.594281,-2.969811e-02,4.676194e-02,-5.422407e-06,2.255858e-03,5.342775e-04,38.84
medium/TTI,256x256x256,101,19,5001,2796,2205,0.559088,-2.407969e-02,4.031420e-02,3.506295e-05,2.473862e-03,6.136955e-04,36.35
medium/TTI,256x256x256,101,20,5001,2615,2386,0.522895,-2.266502e-02,4.008091e-02,4.692005e-05,2.600513e-03,6.439098e-04,35.88
medium/TTI,256x256x256,101,21,5001,2433,2568,0.486503,-2.412765e-02,3.513149e-02,2.872430e-05,2.556730e-03,6.532239e-04,34.61
medium/TTI,256x256x256,101,22,5001,2248,2753,0.449510,-1.773219e-02,3.238399e-02,8.115011e-06,2.515517e-03,6.411843e-04,34.07
medium/TTI,256x256x256,101,23,5001,2077,2924,0.415317,-1.706116e-02,3.095673e-02,8.247488e-06,2.336901e-03,5.962947e-04,34.31
medium/TTI,256x256x256,101,24,5001,1911,3090,0.382124,-1.563846e-02,3.003079e-02,1.193653e-05,2.466708e-03,6.541468e-04,33.24
medium/TTI,256x256x256,101,25,5001,1749,3252,0.349730,-1.416367e-02,2.602142e-02,-1.975888e-05,2.422103e-03,6.457201e-04,32.11
medium/TTI,256x256x256,101,26,5001,1604,3397,0.320736,-1.309783e-02,2.585889e-02,-6.929843e-05,2.175590e-03,6.026138e-04,32.65
medium/TTI,256x256x256,101,27,5001,1467,3534,0.293341,-1.793851e-02,2.324434e-02,-7.073387e-05,2.303460e-03,6.517140e-04,31.05
medium/TTI,256x256x256,101,28,5001,1341,3660,0.268146,-1.428293e-02,2.354602e-02,-1.112164e-05,2.482627e-03,6.942297e-04,30.61
medium/TTI,256x256x256,101,29,5001,1211,3790,0.242152,-1.115586e-02,2.147076e-02,5.629799e-05,2.447169e-03,6.976645e-04,29.76
medium/TTI,256x256x256,101,30,5001,1115,3886,0.222955,-1.015879e-02,2.078279e-02,7.973910e-05,2.538660e-03,7.313068e-04,29.07
medium/TTI,256x256x256,101,31,5001,1006,3995,0.201160,-1.025342e-02,2.062666e-02,4.903935e-05,2.517929e-03,7.396649e-04,28.91
medium/TTI,256x256x256,101,32,5001,893,4108,0.178564,-9.255606e-03,1.969077e-02,2.216607e-06,2.374706e-03,7.176520e-04,28.77
medium/TTI,256x256x256,101,33,5001,807,4194,0.161368,-1.447272e-02,1.751997e-02,-1.982414e-05,2.412337e-03,7.399770e-04,27.49
medium/TTI,256x256x256,101,34,5001,729,4272,0.145771,-1.064416e-02,1.835764e-02,-2.662162e-05,2.403000e-03,7.626284e-04,27.63
medium/TTI,256x256x256,101,35,5001,669,4332,0.133773,-1.332899e-02,1.726472e-02,-4.375606e-05,2.396346e-03,7.893622e-04,26.80
medium/TTI,256x256x256,101,36,5001,606,4395,0.121176,-1.297826e-02,1.630281e-02,-5.289755e-05,2.327646e-03,7.731072e-04,26.48
medium/TTI,256x256x256,101,37,5001,569,4432,0.113777,-1.462129e-02,1.623023e-02,-2.165426e-05,2.364999e-03,8.213275e-04,25.92
medium/TTI,256x256x256,101,38,5001,519,4482,0.103779,-1.024972e-02,1.618877e-02,3.000854e-05,2.505018e-03,8.679287e-04,25.41
medium/TTI,256x256x256,101,39,5001,482,4519,0.096381,-1.339976e-02,1.573342e-02,5.518911e-05,2.462828e-03,8.859760e-04,24.99
